%time,field.header.seq,field.header.stamp,field.header.frame_id,field.load
1701463352381909918,1,1701463352377995189,,0.0
1701463352385920826,2,1701463352381995189,,0.0
1701463352390042519,3,1701463352386995189,,0.0
1701463352398262142,4,1701463352391995189,,0.0
1701463352402695424,5,1701463352395995189,,0.0
1701463352406283386,6,1701463352400995189,,0.0
1701463352410647132,7,1701463352405995189,,0.0
1701463352414916020,8,1701463352409995189,,0.0
1701463352418759703,9,1701463352414995189,,0.0
1701463352427720078,10,1701463352420995189,,0.0
1701463352431426839,11,1701463352424995189,,0.0
1701463352435453827,12,1701463352429995189,,0.0
1701463352439642251,13,1701463352434995189,,0.0
1701463352443588198,14,1701463352438995189,,0.0
1701463352448138231,15,1701463352443995189,,0.0
1701463352456226218,16,1701463352447995189,,0.0
1701463352460051737,17,1701463352452995189,,0.0
1701463352464053118,18,1701463352458995189,,0.0
1701463352468172564,19,1701463352462995189,,0.0
1701463352472086079,20,1701463352467995189,,0.0
1701463352476489484,21,1701463352472995189,,0.0
1701463352485130448,22,1701463352476995189,,0.0
1701463352488676855,23,1701463352481995189,,0.0
1701463352492789684,24,1701463352486995189,,0.0
1701463352496807330,25,1701463352490995189,,0.0
1701463352500939607,26,1701463352495995189,,0.0
1701463352505233526,27,1701463352501995189,,0.0
1701463352513422095,28,1701463352505995189,,0.0
1701463352517585142,29,1701463352510995189,,0.0
1701463352521670296,30,1701463352515995189,,0.0
1701463352525709037,31,1701463352519995189,,0.0
1701463352529912918,32,1701463352524995189,,0.0
1701463352534236986,33,1701463352528995189,,0.0
1701463352542124703,34,1701463352533995189,,0.0
1701463352546041936,35,1701463352538995189,,0.0
1701463352550417176,36,1701463352542995189,,0.0
1701463352554396629,37,1701463352548995189,,0.0
1701463352558312362,38,1701463352553995189,,0.0
1701463352562724482,39,1701463352557995189,,0.0
1701463352570738439,40,1701463352562995189,,0.0
1701463352574851728,41,1701463352567995189,,0.0
1701463352578825564,42,1701463352571995189,,0.0
1701463352583119824,43,1701463352576995189,,0.0
1701463352587406238,44,1701463352581995189,,0.0
1701463352591396834,45,1701463352586995189,,0.0
1701463352595395229,46,1701463352591995189,,0.0
1701463352603621570,47,1701463352596995189,,0.0
1701463352607563691,48,1701463352600995189,,0.0
1701463352611843638,49,1701463352605995189,,0.0
1701463352615925217,50,1701463352609995189,,0.0
1701463352619870333,51,1701463352614995189,,0.0
1701463352624102758,52,1701463352619995189,,0.0
1701463352632146957,53,1701463352623995189,,0.0
1701463352636459363,54,1701463352629995189,,0.0
1701463352640351949,55,1701463352634995189,,0.0
1701463352644285431,56,1701463352638995189,,0.0
1701463352648737475,57,1701463352643995189,,0.0
1701463352652701180,58,1701463352648995189,,0.0
1701463352660743378,59,1701463352652995189,,0.0
1701463352665026139,60,1701463352657995189,,0.0
1701463352669255175,61,1701463352662995189,,0.0
1701463352673360282,62,1701463352666995189,,0.0
1701463352677131868,63,1701463352672995189,,0.0
1701463352681280648,64,1701463352677995189,,0.0
1701463352689499679,65,1701463352681995189,,0.0
1701463352693564035,66,1701463352686995189,,0.0
1701463352697543320,67,1701463352691995189,,0.0
1701463352701698092,68,1701463352695995189,,0.0
1701463352705872350,69,1701463352700995189,,0.0
1701463352710028840,70,1701463352704995189,,0.0
1701463352718169893,71,1701463352709995189,,0.0
1701463352722229267,72,1701463352715995189,,0.0
1701463352726303111,73,1701463352719995189,,0.0
1701463352730581779,74,1701463352724995189,,0.0
1701463352734528497,75,1701463352729995189,,0.0
1701463352738541937,76,1701463352733995189,,0.0
1701463352746988580,77,1701463352738995189,,0.0
1701463352751019337,78,1701463352743995189,,0.0
1701463352754942703,79,1701463352747995189,,0.0
1701463352759085991,80,1701463352752995189,,0.0
1701463352763345620,81,1701463352758995189,,0.0
1701463352767243621,82,1701463352762995189,,0.0
1701463352775377086,83,1701463352767995189,,0.0
1701463352779846285,84,1701463352772995189,,0.0
1701463352783696972,85,1701463352776995189,,0.0
1701463352787799530,86,1701463352781995189,,0.0
1701463352791902780,87,1701463352785995189,,0.0
1701463352796008366,88,1701463352790995189,,0.0
1701463352804341357,89,1701463352795995189,,0.0
1701463352808463350,90,1701463352800995189,,0.0
1701463352812487710,91,1701463352805995189,,0.0
1701463352816402889,92,1701463352810995189,,0.0
1701463352820480068,93,1701463352814995189,,0.0
1701463352824651499,94,1701463352819995189,,0.0
1701463352832771390,95,1701463352824995189,,0.0
1701463352837140544,96,1701463352828995189,,0.0
1701463352841110985,97,1701463352833995189,,0.0
1701463352845078560,98,1701463352838995189,,0.0
1701463352849174004,99,1701463352843995189,,0.0
1701463352853651483,100,1701463352848995189,,0.0
1701463352857355388,101,1701463352853995189,,0.0
1701463352865848612,102,1701463352857995189,,0.0
1701463352869907203,103,1701463352862995189,,0.0
1701463352874102083,104,1701463352867995189,,0.0
1701463352878038735,105,1701463352871995189,,0.0
1701463352881846399,106,1701463352876995189,,0.0
1701463352886121895,107,1701463352880995189,,0.0
1701463352894082472,108,1701463352886995189,,0.0
1701463352898587659,109,1701463352891995189,,0.0
1701463352902324557,110,1701463352895995189,,0.0
1701463352906688215,111,1701463352900995189,,0.0
1701463352910727324,112,1701463352905995189,,0.0
1701463352914876595,113,1701463352909995189,,0.0
1701463352922985306,114,1701463352914995189,,0.0
1701463352926971951,115,1701463352919995189,,0.0
1701463352931250487,116,1701463352923995189,,0.0
1701463352935076252,117,1701463352929995189,,0.0
1701463352939462661,118,1701463352934995189,,0.0
1701463352943541657,119,1701463352938995189,,0.0
1701463352951566918,120,1701463352943995189,,0.0
1701463352955599416,121,1701463352948995189,,0.0
1701463352959562821,122,1701463352952995189,,0.0
1701463352963741698,123,1701463352957995189,,0.0
1701463352967974851,124,1701463352961995189,,0.0
1701463352972250637,125,1701463352966995189,,0.0
1701463352980291264,126,1701463352972995189,,0.0
1701463352984352261,127,1701463352976995189,,0.0
1701463352988679971,128,1701463352981995189,,0.0
1701463352992827463,129,1701463352986995189,,0.0
1701463352996909101,130,1701463352990995189,,0.0
1701463353001121959,131,1701463352995995189,,0.0
1701463353008959595,132,1701463353000995189,,0.0
1701463353013061749,133,1701463353004995189,,0.0
1701463353017147594,134,1701463353009995189,,0.0
1701463353021278279,135,1701463353015995189,,0.0
1701463353025585566,136,1701463353019995189,,0.0
1701463353029392121,137,1701463353024995189,,0.0
1701463353037593523,138,1701463353029995189,,0.0
1701463353041601867,139,1701463353033995189,,0.0
1701463353045908921,140,1701463353038995189,,0.0
1701463353049836168,141,1701463353043995189,,0.0
1701463353054423062,142,1701463353047995189,,0.0
1701463353058114217,143,1701463353052995189,,0.0
1701463353066318399,144,1701463353057995189,,0.0
1701463353070334754,145,1701463353062995189,,0.0
1701463353074632422,146,1701463353067995189,,0.0
1701463353078608173,147,1701463353071995189,,0.0
1701463353082506723,148,1701463353076995189,,0.0
1701463353086701315,149,1701463353081995189,,0.0
1701463353091074412,150,1701463353085995189,,0.0
1701463353099187987,151,1701463353090995189,,0.0
1701463353103193677,152,1701463353095995189,,0.0
1701463353107172732,153,1701463353100995189,,0.0
1701463353111286790,154,1701463353105995189,,0.0
1701463353115404936,155,1701463353110995189,,0.0
1701463353119497873,156,1701463353114995189,,0.0
1701463353127619218,157,1701463353119995189,,0.0
1701463353132154864,158,1701463353124995189,,0.0
1701463353135989423,159,1701463353128995189,,0.0
1701463353140211375,160,1701463353133995189,,0.0
1701463353144025619,161,1701463353137995189,,0.0
1701463353148362578,162,1701463353143995189,,0.0
1701463353156446651,163,1701463353148995189,,0.0
1701463353160458898,164,1701463353152995189,,0.0
1701463353164700698,165,1701463353157995189,,0.0
1701463353168627712,166,1701463353162995189,,0.0
1701463353172658163,167,1701463353166995189,,0.0
1701463353176829270,168,1701463353171995189,,0.0
1701463353184973390,169,1701463353176995189,,0.0
1701463353189054888,170,1701463353180995189,,0.0
1701463353193578528,171,1701463353186995189,,0.0
1701463353197382540,172,1701463353191995189,,0.0
1701463353201387856,173,1701463353195995189,,0.0
1701463353205914092,174,1701463353200995189,,0.0
1701463353214015166,175,1701463353205995189,,0.0
1701463353217867196,176,1701463353209995189,,0.0
1701463353221766055,177,1701463353214995189,,0.0
1701463353226283020,178,1701463353218995189,,0.0
1701463353230352642,179,1701463353223995189,,0.0
1701463353234312180,180,1701463353229995189,,0.0
1701463353242495949,181,1701463353233995189,,0.0
1701463353246682146,182,1701463353238995189,,0.0
1701463353250654816,183,1701463353243995189,,0.0
1701463353254662172,184,1701463353247995189,,0.0
1701463353259006006,185,1701463353252995189,,0.0
1701463353262962932,186,1701463353257995189,,0.0
1701463353271031991,187,1701463353261995189,,0.0
1701463353275124391,188,1701463353266995189,,0.0
1701463353279176227,189,1701463353272995189,,0.0
1701463353283310145,190,1701463353276995189,,0.0
1701463353287423982,191,1701463353281995189,,0.0
1701463353291682752,192,1701463353286995189,,0.0
1701463353299770442,193,1701463353290995189,,0.0
1701463353303742375,194,1701463353295995189,,0.0
1701463353307967762,195,1701463353300995189,,0.0
1701463353312149497,196,1701463353304995189,,0.0
1701463353316273315,197,1701463353309995189,,0.0
1701463353320174035,198,1701463353314995189,,0.0
1701463353328634823,199,1701463353319995189,,0.0
1701463353332483859,200,1701463353324995189,,0.0
1701463353336838621,201,1701463353328995189,,0.0
1701463353340789967,202,1701463353333995189,,0.0
